abbrev,player_count,link
FIFA,109,https://fbref.com/en/country/players/URS/Soviet-Union-Football-Players
UEFA,7842,https://fbref.com/en/country/players/ESP/Spain-Football-Players
AFC,134,https://fbref.com/en/country/players/SRI/Sri-Lanka-Football-Players
CONCACAF,185,https://fbref.com/en/country/players/SKN/Saint-Kitts-and-Nevis-Football-Players
CONCACAF,115,https://fbref.com/en/country/players/LCA/Saint-Lucia-Football-Players
CONCACAF,169,https://fbref.com/en/country/players/VIN/Saint-Vincent-and-the-Grenadines-Football-Players
CAF,122,https://fbref.com/en/country/players/SDN/Sudan-Football-Players
CONCACAF,159,https://fbref.com/en/country/players/SUR/Suriname-Football-Players
UEFA,3480,https://fbref.com/en/country/players/SWE/Sweden-Football-Players
UEFA,1383,https://fbref.com/en/country/players/SUI/Switzerland-Football-Players
AFC,231,https://fbref.com/en/country/players/SYR/Syria-Football-Players
OFC,139,https://fbref.com/en/country/players/TAH/Tahiti-Football-Players
AFC,197,https://fbref.com/en/country/players/TJK/Tajikistan-Football-Players
CAF,156,https://fbref.com/en/country/players/TAN/Tanzania-Football-Players
AFC,291,https://fbref.com/en/country/players/THA/Thailand-Football-Players
AFC,119,https://fbref.com/en/country/players/TLS/Timor-Leste-Football-Players
CAF,228,https://fbref.com/en/country/players/TOG/Togo-Football-Players
OFC,73,https://fbref.com/en/country/players/TGA/Tonga-Football-Players
CONCACAF,319,https://fbref.com/en/country/players/TRI/Trinidad-and-Tobago-Football-Players
CAF,362,https://fbref.com/en/country/players/TUN/Tunisia-Football-Players
UEFA,2387,https://fbref.com/en/country/players/TUR/Turkey-Football-Players
AFC,133,https://fbref.com/en/country/players/TKM/Turkmenistan-Football-Players
CONCACAF,90,https://fbref.com/en/country/players/TCA/Turks-and-Caicos-Islands-Football-Players
CAF,197,https://fbref.com/en/country/players/UGA/Uganda-Football-Players
UEFA,1850,https://fbref.com/en/country/players/UKR/Ukraine-Football-Players
AFC,277,https://fbref.com/en/country/players/UAE/United-Arab-Emirates-Football-Players
CONCACAF,4382,https://fbref.com/en/country/players/USA/United-States-Football-Players
CONMEBOL,1935,https://fbref.com/en/country/players/URU/Uruguay-Football-Players
CONCACAF,114,https://fbref.com/en/country/players/VIR/US-Virgin-Islands-Football-Players
AFC,286,https://fbref.com/en/country/players/UZB/Uzbekistan-Football-Players
OFC,109,https://fbref.com/en/country/players/VAN/Vanuatu-Football-Players
CONMEBOL,1670,https://fbref.com/en/country/players/VEN/Venezuela-Football-Players
AFC,267,https://fbref.com/en/country/players/VIE/Vietnam-Football-Players
UEFA,707,https://fbref.com/en/country/players/WAL/Wales-Football-Players
AFC,164,https://fbref.com/en/country/players/YEM/Yemen-Football-Players
FIFA,179,https://fbref.com/en/country/players/YUG/Yugoslavia-Football-Players
CAF,259,https://fbref.com/en/country/players/ZAM/Zambia-Football-Players
CAF,2,https://fbref.com/en/country/players/ZAN/Zanzibar-Football-Players
CAF,239,https://fbref.com/en/country/players/ZIM/Zimbabwe-Football-Players
